et,away,home,spread_home,total,fav,margin,proj_home,proj_away,proj_score,p_fav_win_spread,ml_fair_home_pct,ml_fair_home_am,ml_hold_pct,tot_fair_over_pct,tot_hold_pct,spr_fair_home_pct,spr_hold_pct,venue,hfa_crowd,hfa_alt,hfa_total,hfa_vs_flat25,weather,confidence,edge_type,best_bet,notes
12:00,Texas,Tennessee,4.5,55.5,Texas,4.5,25.5,30.0,Tennessee 25.5 - Texas 30.0,60.7,36.2,176,4.32,51.16,4.5,,,Neyland Stadium,3.6,0.0,3.6,1.1,"Sunny 77F, light NE, no rain",High,None,No bet - no independent number vs a fairly priced market,opened TEX -3.5 -> -5; now -4.5
15:30,Ole Miss,Florida,-3.5,58.5,Florida,3.5,31.0,27.5,Florida 31.0 - Ole Miss 27.5,58.4,60.09,-151,4.3,51.16,4.5,47.92,4.8,Ben Hill Griffin (The Swamp),3.6,0.0,3.6,1.1,"Sunny 82F, 2% precip",High,None,No bet - no independent number vs a fairly priced market,
17:00,Wisconsin,Penn State,-9.5,44.5,Penn State,9.5,27.0,17.5,Penn State 27.0 - Wisconsin 17.5,71.8,77.74,-349,3.23,50.0,4.55,50.8,5.13,Beaver Stadium,3.7,0.0,3.7,1.2,"Mostly sunny 69-73F, N WIND 10-20 GUSTS ~25, 12-24% precip",High,Weather,Under lean on sourced weather; cap 1u,
14:00,Notre Dame,Purdue,27.5,58.5,Notre Dame,27.5,15.5,43.0,Purdue 15.5 - Notre Dame 43.0,95.2,1.95,5024,4.28,,,,,Ross-Ade Stadium,2.5,0.0,2.5,0.0,not retrieved,High,None,No bet - no independent number vs a fairly priced market,
14:00,Northern Illinois,Georgia State,-10.0,56.5,Georgia State,10.0,33.2,23.3,Georgia State 33.2 - Northern Illinois 23.3,72.8,78.69,-369,5.35,,,,,,,,,,not retrieved,High,None,No bet - no independent number vs a fairly priced market,
15:00,Hawaii,Wyoming,3.5,43.5,Hawaii,3.5,20.0,23.5,Wyoming 20.0 - Hawaii 23.5,58.4,43.45,130,4.35,50.93,4.51,,,War Memorial Stadium,3.0,1.5,4.5,2.0,not retrieved,High,None,No bet - no independent number vs a fairly priced market,HAWAII favored ON THE ROAD at highest stadium in D-I
15:30,Iowa,Michigan,-5.5,38.5,Michigan,5.5,22.0,16.5,Michigan 22.0 - Iowa 16.5,63.1,66.77,-201,4.09,,,,,Michigan Stadium,3.2,0.0,3.2,0.7,not retrieved,High,None,No bet - no independent number vs a fairly priced market,lowest total on board
16:15,Vanderbilt,Auburn,-9.5,54.5,Auburn,9.5,32.0,22.5,Auburn 32.0 - Vanderbilt 22.5,71.8,76.87,-332,4.28,,,,,Jordan-Hare Stadium,3.4,0.0,3.4,0.9,not retrieved,High,None,No bet - no independent number vs a fairly priced market,
18:30,Central Michigan,Miami (FL),-41.5,53.5,Miami (FL),41.5,47.5,6.0,Miami (FL) 47.5 - Central Michigan 6.0,99.4,,,,51.16,4.5,50.93,4.51,,,,,,not retrieved,High,None,No bet - no independent number vs a fairly priced market,
19:00,Kansas State,Cincinnati,6.5,55.5,Kansas State,6.5,24.5,31.0,Cincinnati 24.5 - Kansas State 31.0,65.3,,,,49.53,3.26,50.36,3.05,,,,,,not retrieved,High,None,No bet - no independent number vs a fairly priced market,KSU fav on road; tightest hold on board
19:30,Troy,Utah State,-3.0,47.5,Utah State,3.0,25.2,22.3,Utah State 25.2 - Troy 22.3,57.2,58.21,-139,4.37,,,,,Maverik Stadium,2.8,1.0,3.8,1.3,not retrieved,High,None,No bet - no independent number vs a fairly priced market,
20:00,Tulsa,Arkansas,-7.0,50.5,Arkansas,7.0,28.8,21.7,Arkansas 28.8 - Tulsa 21.7,66.4,71.53,-251,4.38,,,,,,,,,,not retrieved,High,None,No bet - no independent number vs a fairly priced market,
22:30,Georgia Tech,Stanford,3.5,48.5,Georgia Tech,3.5,22.5,26.0,Stanford 22.5 - Georgia Tech 26.0,58.4,39.11,156,4.42,48.84,4.5,50.0,4.55,,,,,,not retrieved,High,None,No bet - no independent number vs a fairly priced market,GT fav on road
night,Missouri,Mississippi State,-6.5,58.5,Mississippi State,6.5,32.5,26.0,Mississippi State 32.5 - Missouri 26.0,65.3,66.37,-197,4.29,51.61,4.86,,,,,,,,not retrieved,High,None,No bet - no independent number vs a fairly priced market,
night,South Carolina,Alabama,-12.5,54.5,Alabama,12.5,33.5,21.0,Alabama 33.5 - South Carolina 21.0,77.6,82.42,-469,4.32,49.07,4.51,,,Bryant-Denny Stadium,3.5,0.0,3.5,1.0,not retrieved,High,None,No bet - no independent number vs a fairly priced market,
12:00,Illinois,Ohio State,-27.5,54.5,Ohio State,27.5,41.0,13.5,Ohio State 41.0 - Illinois 13.5,95.2,,,,,,,,Ohio Stadium,3.5,0.0,3.5,1.0,"Mostly sunny 73F, N 5-10",Medium,None,No bet - no independent number vs a fairly priced market,
15:30,Utah,Iowa State,8.0,48.5,Utah,8.0,20.2,28.3,Iowa State 20.2 - Utah 28.3,68.6,,,,,,,,,,,,,"STEADY RAIN morning, showers thru afternoon, 64F, SE 5-10",Medium,Weather,Under lean on sourced weather; cap 1u,"FD 47.5 (o-114/u-106), most books 48.5. UTAH 3-0, ISU 2-1"
19:00,Oklahoma State,West Virginia,-2.0,61.5,West Virginia,2.0,31.8,29.7,West Virginia 31.8 - Oklahoma State 29.7,54.8,53.44,-115,4.55,,,,,,,,,,"Partly cloudy upper 60s, N 5-10",Medium,Shop,"Books disagree - take the better number, no model needed",alt WVU -1.5 / tot 59.5. OKST beat Oregon 39-31
12:00,Colorado,Baylor,-9.5,55.5,Baylor,9.5,32.5,23.0,Baylor 32.5 - Colorado 23.0,71.8,77.3,-340,4.39,,,,,,,,,,not retrieved,Medium,Shop,"Books disagree - take the better number, no model needed",books split -9.5/-10
12:00,Wake Forest,Louisville,-13.5,57.5,Louisville,13.5,35.5,22.0,Louisville 35.5 - Wake Forest 22.0,79.3,82.94,-486,4.97,,,,,,,,,,not retrieved,Medium,Shop,"Books disagree - take the better number, no model needed",alt -13
12:00,Sam Houston,Texas Tech,-34.5,55.5,Texas Tech,34.5,45.0,10.5,Texas Tech 45.0 - Sam Houston 10.5,98.2,,,,,,,,,,,,,not retrieved,Medium,None,No bet - no independent number vs a fairly priced market,"SHSU 1-2, TTU 3-0"
12:45,South Alabama,Kentucky,-20.0,54.5,Kentucky,20.0,37.2,17.3,Kentucky 37.2 - South Alabama 17.3,88.7,,,,,,,,,,,,,not retrieved,Medium,None,No bet - no independent number vs a fairly priced market,both 2-1
15:30,Oklahoma,Georgia,-13.5,44.5,Georgia,13.5,29.0,15.5,Georgia 29.0 - Oklahoma 15.5,79.3,,,,,,,,Sanford Stadium,3.5,0.0,3.5,1.0,not retrieved,Medium,None,No bet - no independent number vs a fairly priced market,"UGA #2, OU #24"
15:30,TCU,UCF,3.0,48.5,TCU,3.0,22.8,25.7,UCF 22.8 - TCU 25.7,57.2,,,,,,,,,,,,,not retrieved,Medium,None,No bet - no independent number vs a fairly priced market,TCU fav on road
15:30,New Mexico,New Mexico State,11.5,48.5,New Mexico,11.5,18.5,30.0,New Mexico State 18.5 - New Mexico 30.0,75.7,19.73,407,4.35,51.16,4.5,,,,,,,,not retrieved,Medium,Shop,"Books disagree - take the better number, no model needed",NM fav on road; -11.5 to -13.5 across books; totals 48.5-50.5
18:00,Delaware,Virginia,-19.5,52.5,Virginia,19.5,36.0,16.5,Virginia 36.0 - Delaware 16.5,88.1,,,,,,,,,,,,,not retrieved,Medium,None,No bet - no independent number vs a fairly priced market,
18:00,James Madison,Old Dominion,6.5,44.5,James Madison,6.5,19.0,25.5,Old Dominion 19.0 - James Madison 25.5,65.3,31.75,215,4.43,,,,,,,,,,not retrieved,Medium,Shop,"Books disagree - take the better number, no model needed","JMU fav on road 3-0 vs ODU 1-2; sp 5.5-6.5, tot 44.5-45.5"
19:00,Southern Miss,Tulane,-18.5,52.5,Tulane,18.5,35.5,17.0,Tulane 35.5 - Southern Miss 17.0,86.9,,,,,,,,Superdome,2.2,0.0,2.2,-0.3,not retrieved,Medium,None,No bet - no independent number vs a fairly priced market,both 1-2
19:00,Louisiana,Charlotte,10.0,49.5,Louisiana,10.0,19.8,29.7,Charlotte 19.8 - Louisiana 29.7,72.8,20.51,388,4.64,,,,,,,,,,not retrieved,Medium,Shop,"Books disagree - take the better number, no model needed","ULL fav on road; sp 10-10.5, tot 48.5-50.5"
