et,away,home,conf,spread_home,total,fav,margin,proj_score,proj_home,proj_away,p_fav_win,ml_fair_home_pct,ml_fair_home_am,ml_hold_pct,tot_fair_over_pct,tot_hold_pct,venue,hfa_crowd,hfa_alt,hfa_total,hfa_vs_base,confidence,edge_type,best_bet,stake_cap,notes
13:00,North Dakota,Indiana State,MVFC,16.5,58.5,North Dakota,16.5,Indiana State 21.0 - North Dakota 37.5,21.0,37.5,82.7,8.32,1103,5.04,48.28,5.05,,,,,,Medium,None,No bet - no independent number,1u (FCS data thin per sport-fcs.md),UND favored on the road
14:00,Furman,Richmond,SoCon/CAA,-3.0,44.5,Richmond,3.0,Richmond 23.8 - Furman 20.7,23.8,20.7,56.8,57.84,-137,5.09,,,,,,,,Medium,None,No bet - no independent number,1u (FCS data thin per sport-fcs.md),"FUR 2-2 (1-1 away), RICH 3-1 (2-0 home)"
15:00,Northern Arizona,Montana State,Big Sky,-20.5,56.5,Montana State,20.5,Montana State 38.5 - Northern Arizona 18.0,38.5,18.0,87.9,93.26,-1383,5.52,,,Bobcat Stadium,3.4,0.0,3.4,0.4,Medium,Situational,No bet - but do NOT add altitude for MSU here,1u (FCS data thin per sport-fcs.md),NAU is a HIGH-ALTITUDE program (Flagstaff). MSU's altitude edge is neutralised.
16:00,Illinois State,Northern Iowa,MVFC,19.5,58.5,Illinois State,19.5,Northern Iowa 19.5 - Illinois State 39.0,19.5,39.0,86.7,8.52,1073,4.99,,,,,,,,Medium,None,No bet - no independent number,1u (FCS data thin per sport-fcs.md),ISU favored on the road; UNI-Dome is indoor - weather is a non-factor
16:00,Southern Illinois,Murray State,MVFC,16.5,53.5,Southern Illinois,16.5,Murray State 18.5 - Southern Illinois 35.0,18.5,35.0,82.7,12.75,684,5.03,50.0,4.95,,,,,,Medium,None,No bet - no independent number,1u (FCS data thin per sport-fcs.md),"SIU favored on the road; SIU 2-2, MUR 1-3"
16:00,Maine,Elon,CAA,-5.5,44.5,Elon,5.5,Elon 25.0 - Maine 19.5,25.0,19.5,62.3,65.36,-189,5.1,50.0,4.95,,,,,,Medium,None,No bet - no independent number,1u (FCS data thin per sport-fcs.md),
18:00,Southern,Jackson State,SWAC,-20.5,57.5,Jackson State,20.5,Jackson State 39.0 - Southern 18.5,39.0,18.5,87.9,90.99,-1010,5.03,,,,,,,,Medium,None,No bet - no independent number,1u (FCS data thin per sport-fcs.md),"JSU 3-0 at home, SO 2-2 away. JSU opens SWAC play"
18:00,Western Carolina,East Tennessee St,SoCon,-1.5,63.5,East Tennessee St,1.5,East Tennessee St 32.5 - Western Carolina 31.0,32.5,31.0,53.4,53.53,-115,5.12,51.03,5.12,,,,,,Medium,None,No bet - no independent number,1u (FCS data thin per sport-fcs.md),"both 2-2; WCU 2-0 away, ETSU 2-1 home"
14:00,Chattanooga,The Citadel,SoCon,11.5,47.5,Chattanooga,11.5,The Citadel 18.0 - Chattanooga 29.5,18.0,29.5,74.4,22.51,344,5.02,49.17,3.46,,,,,,Medium,Shop,Take Citadel +11.5 (not +10.5) or Chattanooga -10.5 (not -11.5),1u (FCS data thin per sport-fcs.md),"SHOPPABLE: CHAT -11.5 (-111) at one book, CIT +10.5 (-132) at another - market is 10.5/11.5"
17:00,Stony Brook,Fordham,CAA/Patriot,10.5,52.5,Stony Brook,10.5,Fordham 21.0 - Stony Brook 31.5,21.0,31.5,72.6,20.74,382,5.04,56.53,5.04,,,,,,Medium,None,"No bet - under devigs FAIR at +130, offered +116 = -6.1% EV. Plus money is not value.",1u (FCS data thin per sport-fcs.md),SBU favored on road. TOTAL JUICE IS LOPSIDED: over -144 / under +116
14:30,Colgate,Villanova,Patriot/CAA,-10.5,49.5,Villanova,10.5,Villanova 30.0 - Colgate 19.5,30.0,19.5,72.6,,,,,,,,,,,Low,None,No bet - no independent number,1u (FCS data thin per sport-fcs.md),
18:00,South Dakota,Youngstown State,MVFC,-1.5,65.5,Youngstown State,1.5,Youngstown State 33.5 - South Dakota 32.0,33.5,32.0,53.4,,,,,,,,,,,Low,Flag,No bet - 65.5 is the day's extreme; needs a number I don't have,1u (FCS data thin per sport-fcs.md),"HIGHEST TOTAL OF THE ENTIRE DAY, FBS or FCS"
16:00,Montana,UC Davis,Big Sky,-2.5,,UC Davis,2.5,total not retrieved - no score projection published,,,55.7,,,,,,,,,,,Low,None,No bet - no independent number,1u (FCS data thin per sport-fcs.md),"total NOT retrieved. Montana travels DOWN in elevation (3,200ft -> ~50ft)"
